Age,Gender,Weight,Height,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration,Calories_Burned,Workout_Type,Body_Fat_Percentage,Water_Intake,Workout_Frequency,Experience_Level,BMI
56,Male,88.3,1.71,180,157,60,1.69,1313.0,Yoga,12.6,3.5,4,3,30.2
46,Female,74.9,1.53,179,151,66,1.3,883.0,HIIT,33.9,2.1,4,2,32.0
32,Female,68.1,1.66,167,122,54,1.11,677.0,Cardio,33.4,2.3,4,2,24.71
25,Male,53.2,1.7,190,164,56,0.59,532.0,Strength,28.8,2.1,3,1,18.41
38,Male,46.1,1.79,188,158,68,0.64,556.0,Strength,29.2,2.8,3,1,14.39
56,Female,58.0,1.68,168,156,74,1.59,1116.0,HIIT,15.5,2.7,5,3,20.55
38,Male,71.9,1.77,197,142,72,1.12,875.0,Cardio,25.7,3.1,2,1,22.95
50,Female,71.0,1.68,187,161,70,1.17,848.0,Yoga,33.1,2.5,2,1,25.16
29,Male,120.9,1.78,197,168,65,0.78,721.0,Yoga,28.1,3.4,2,1,38.16
39,Female,64.3,1.69,190,148,58,1.25,925.0,HIIT,26.9,1.9,4,2,22.51
42,Female,63.7,1.71,173,169,62,1.42,1080.0,Yoga,26.1,1.8,3,2,21.78
44,Male,65.2,1.8,192,139,68,0.73,502.0,HIIT,27.2,2.7,2,1,20.12
59,Male,53.9,1.75,168,135,69,1.48,989.0,Strength,21.6,2.8,4,2,17.6
45,Male,84.9,1.86,186,136,66,1.64,1104.0,HIIT,14.2,3.5,5,3,24.54
33,Female,78.0,1.68,183,135,55,1.29,871.0,HIIT,32.3,1.8,3,2,27.64
32,Male,108.2,1.8,172,138,53,1.27,964.0,HIIT,28.4,3.5,3,1,33.4
20,Female,65.4,1.52,185,127,50,1.03,654.0,Yoga,28.0,2.2,4,2,28.31
54,Female,50.2,1.61,188,157,67,1.48,1046.0,HIIT,28.2,2.7,2,1,19.37
24,Female,58.9,1.51,187,157,68,1.04,816.0,Cardio,31.7,2.5,2,1,25.83
38,Male,81.4,1.71,187,148,58,1.52,1237.0,HIIT,10.2,3.5,5,3,27.84
26,Male,127.6,1.73,167,160,62,1.32,1162.0,Strength,27.3,2.9,3,1,42.63
56,Female,59.3,1.56,182,155,57,1.26,879.0,Cardio,33.4,2.6,4,2,24.37
35,Male,96.9,1.71,188,145,72,1.34,1069.0,Strength,24.2,2.9,3,2,33.14
21,Male,62.6,1.81,164,150,62,1.3,1072.0,Strength,27.6,3.5,4,2,19.11
42,Male,45.5,1.6,166,163,64,1.31,1057.0,Strength,21.7,2.6,3,2,17.77
31,Female,48.8,1.51,195,131,60,1.48,969.0,Cardio,28.2,2.0,2,1,21.4
26,Female,44.3,1.6,186,136,61,1.08,734.0,Cardio,34.7,2.0,3,1,17.3
43,Male,113.2,1.83,161,134,63,1.45,962.0,Yoga,29.9,2.9,4,2,33.8
19,Female,60.5,1.59,184,128,53,1.14,730.0,Cardio,30.1,2.2,2,1,23.93
37,Male,124.2,1.76,168,158,50,1.5,1304.0,HIIT,29.3,2.8,2,1,40.1
45,Male,52.4,1.85,186,161,73,1.2,956.0,Strength,25.2,2.5,3,1,15.31
24,Male,54.7,1.74,160,167,53,0.84,772.0,Yoga,22.9,3.6,3,1,18.07
25,Male,88.1,1.95,182,131,68,1.41,1016.0,Cardio,22.7,3.0,2,1,23.17
52,Female,59.7,1.71,169,151,58,1.23,836.0,Strength,34.3,2.0,3,1,20.42
31,Female,79.7,1.54,184,144,59,1.03,742.0,Cardio,26.7,2.3,4,2,33.61
34,Female,51.0,1.62,162,158,53,1.42,1122.0,Yoga,30.8,2.4,3,2,19.43
53,Male,84.2,1.76,165,137,69,1.67,1133.0,Cardio,12.8,3.5,5,3,27.18
57,Male,122.1,1.89,165,134,58,1.13,750.0,Cardio,27.4,3.6,3,1,34.18
21,Male,96.7,1.72,161,151,62,1.26,1046.0,Strength,25.0,2.8,3,1,32.69
19,Female,73.0,1.79,177,125,61,0.81,506.0,HIIT,27.7,1.6,3,1,22.78
23,Male,114.8,1.6,182,163,60,1.47,1318.0,Cardio,21.7,2.7,4,2,44.84
59,Female,65.5,1.52,161,162,61,1.4,1021.0,Yoga,31.2,2.1,3,2,28.35
21,Female,50.3,1.52,171,154,67,1.08,832.0,Cardio,32.2,2.6,3,1,21.77
46,Female,61.0,1.71,181,153,61,1.67,1150.0,Cardio,17.8,2.7,4,3,20.86
35,Female,44.6,1.62,196,157,65,0.56,440.0,HIIT,32.4,2.0,2,1,16.99
43,Female,58.2,1.61,179,124,54,1.04,580.0,Strength,26.4,2.6,3,2,22.45
51,Female,44.8,1.63,198,137,69,1.08,666.0,Yoga,33.8,2.1,4,2,16.86
27,Male,87.5,1.63,183,135,74,1.75,1299.0,Strength,12.9,3.5,5,3,32.93
53,Male,51.8,1.74,179,127,61,1.23,773.0,Strength,21.3,3.7,3,2,17.11
31,Female,64.4,1.7,160,144,70,1.97,1418.0,Strength,17.3,2.7,5,3,22.28
48,Female,67.1,1.61,160,151,74,0.62,421.0,Cardio,33.4,1.5,2,1,25.89
32,Male,85.9,1.6,176,145,60,1.99,1587.0,HIIT,14.5,3.5,5,3,33.55
25,Female,65.4,1.77,160,141,58,0.89,627.0,Cardio,27.6,2.6,3,1,20.88
31,Female,61.1,1.76,189,150,67,1.81,1358.0,Yoga,18.6,2.7,4,3,19.72
40,Male,106.5,1.65,162,162,74,1.32,1176.0,HIIT,21.0,3.6,4,2,39.12
57,Female,64.0,1.52,170,129,52,1.73,1004.0,Strength,15.2,2.7,5,3,27.7
38,Female,61.4,1.54,183,131,69,1.47,963.0,HIIT,30.6,2.7,3,2,25.89
33,Female,40.5,1.63,181,147,66,1.07,786.0,Yoga,31.9,1.5,4,2,15.24
35,Male,70.1,1.79,185,125,63,1.08,743.0,Cardio,28.0,2.3,3,2,21.88
41,Male,94.1,1.62,172,139,50,1.13,777.0,Cardio,23.4,3.1,4,2,35.86
43,Male,55.5,1.82,160,124,66,1.08,663.0,Strength,20.1,2.0,3,1,16.76
42,Female,53.7,1.72,183,142,74,1.37,875.0,Cardio,29.8,1.6,3,1,18.15
58,Female,66.1,1.75,169,128,57,0.63,363.0,Cardio,25.2,1.8,2,1,21.58
46,Male,103.9,1.77,194,148,54,1.18,864.0,Yoga,20.9,2.9,2,1,33.16
32,Female,61.7,1.58,183,135,54,1.87,1262.0,HIIT,16.6,2.7,5,3,24.72
18,Female,52.3,1.74,187,165,58,1.2,990.0,Cardio,29.4,2.2,2,1,17.27
42,Female,59.5,1.74,195,141,52,1.78,1129.0,Yoga,16.4,2.7,5,3,19.65
24,Female,72.9,1.76,175,127,68,0.86,546.0,Yoga,30.8,1.5,3,1,23.53
26,Female,76.7,1.63,199,139,72,1.08,751.0,Strength,25.6,1.7,2,1,28.87
41,Male,72.1,1.83,175,133,58,1.13,744.0,Yoga,21.4,2.8,3,2,21.53
18,Female,54.8,1.68,176,158,71,1.27,1003.0,Strength,32.0,2.2,4,2,19.42
25,Male,105.0,1.88,174,156,67,1.34,1150.0,Cardio,21.4,2.3,3,2,29.71
41,Female,55.0,1.55,175,169,65,1.45,1103.0,Strength,31.4,2.0,4,2,22.89
28,Male,81.6,1.66,174,153,50,1.09,917.0,Yoga,20.5,3.5,4,2,29.61
34,Female,75.6,1.6,193,130,51,0.64,416.0,HIIT,29.1,2.7,2,1,29.53
25,Male,81.5,1.61,170,159,63,1.93,1688.0,HIIT,10.9,3.5,4,3,31.44
52,Female,61.5,1.69,160,152,63,1.8,1231.0,Cardio,15.5,2.7,4,3,21.53
52,Male,74.0,1.63,174,150,50,1.26,936.0,Cardio,25.7,3.7,3,2,27.85
50,Female,56.4,1.59,185,163,74,1.26,924.0,HIIT,34.3,2.6,3,1,22.31
22,Male,102.6,1.84,163,153,65,1.25,1052.0,Strength,20.5,2.7,3,2,30.3
59,Female,54.6,1.57,164,169,64,0.58,441.0,Cardio,29.2,2.3,3,1,22.15
56,Male,129.0,1.78,194,126,64,1.29,805.0,Yoga,27.1,2.7,2,1,40.71
58,Male,103.5,1.66,172,168,61,1.33,1106.0,Cardio,24.6,3.1,3,1,37.56
45,Female,59.4,1.51,169,142,65,1.15,735.0,Strength,33.1,1.9,4,2,26.05
24,Female,60.1,1.79,170,165,63,1.97,1625.0,Cardio,15.9,2.7,4,3,18.76
26,Male,77.7,1.62,177,126,73,1.16,804.0,Yoga,29.6,3.0,3,2,29.61
25,Female,41.2,1.62,193,144,64,1.49,1073.0,Yoga,28.9,2.1,4,2,15.7
29,Male,58.6,1.61,198,122,72,1.2,805.0,Yoga,23.4,2.0,3,2,22.61
51,Male,109.3,1.78,182,157,64,0.54,420.0,Strength,28.7,3.3,3,1,34.5
50,Male,69.6,1.96,166,139,68,0.97,667.0,Strength,25.6,2.0,3,1,18.12
40,Female,56.2,1.79,198,153,57,1.79,1369.0,Yoga,17.6,2.7,5,3,17.54
41,Male,71.7,1.96,162,168,51,0.51,424.0,Yoga,27.3,2.5,2,1,18.66
54,Male,86.0,1.93,171,163,51,1.74,1404.0,Strength,12.9,3.5,5,3,23.09
52,Female,79.4,1.59,166,163,59,1.39,1020.0,Strength,26.6,1.5,3,2,31.41
57,Female,78.4,1.62,185,149,52,1.01,677.0,Strength,31.7,2.0,4,2,29.87
39,Female,55.4,1.6,192,136,72,1.44,979.0,HIIT,26.3,1.6,3,2,21.64
44,Female,61.7,1.55,196,129,66,1.41,819.0,Strength,33.1,2.6,4,2,25.68
52,Male,85.5,1.82,174,154,57,1.78,1357.0,Yoga,14.9,3.5,4,3,25.81
18,Male,87.6,1.93,161,139,72,1.72,1315.0,HIIT,11.9,3.5,4,3,23.52
52,Male,82.4,1.72,166,137,53,1.01,685.0,Strength,24.4,2.7,4,2,27.85
54,Male,67.0,1.68,191,164,63,0.55,446.0,Yoga,20.5,2.8,3,1,23.74
31,Female,42.3,1.6,163,163,70,1.09,888.0,Cardio,25.1,1.9,3,2,16.52
20,Male,82.7,1.99,179,146,59,1.69,1357.0,HIIT,14.6,3.5,5,3,20.88
18,Male,92.4,1.74,195,168,50,1.41,1303.0,Yoga,21.3,3.1,2,1,30.52
22,Female,63.2,1.54,191,155,53,1.02,790.0,Cardio,29.5,2.4,4,2,26.65
43,Male,82.7,1.85,187,142,50,1.22,858.0,Yoga,28.2,3.1,4,2,24.16
31,Male,86.6,1.76,172,151,66,1.29,1071.0,Strength,28.9,3.3,3,2,27.96
56,Male,129.5,1.95,160,129,66,1.0,639.0,Strength,25.2,3.5,2,1,34.06
44,Male,98.0,1.83,194,130,56,1.28,824.0,Cardio,25.7,3.5,4,2,29.26
26,Male,86.2,1.68,189,157,72,1.97,1701.0,Strength,13.3,3.5,5,3,30.54
32,Male,78.6,1.62,195,125,69,1.28,880.0,Yoga,29.6,3.1,3,1,29.95
32,Female,59.0,1.66,184,160,64,0.51,408.0,Cardio,31.0,1.8,2,1,21.41
43,Female,57.3,1.79,175,166,62,1.98,1479.0,Yoga,17.8,2.7,4,3,17.88
59,Male,122.3,1.89,178,153,51,0.66,500.0,Yoga,20.1,3.1,3,1,34.24
30,Male,85.3,1.95,160,155,68,1.61,1373.0,Yoga,10.4,3.5,5,3,22.43
49,Female,45.2,1.74,164,156,73,1.24,870.0,Strength,30.8,2.1,3,2,14.93
56,Male,55.6,1.92,181,136,62,0.68,458.0,Strength,29.4,3.2,3,1,15.08
49,Male,82.8,1.95,183,159,73,1.91,1503.0,Yoga,14.3,3.5,5,3,21.78
21,Male,125.2,1.66,196,159,60,1.38,1207.0,HIIT,29.8,3.4,3,2,45.43
47,Female,58.5,1.79,195,131,71,1.42,837.0,Yoga,30.3,2.4,4,2,18.26
54,Male,86.1,1.95,195,140,64,1.17,811.0,Yoga,27.9,3.4,2,1,22.64
40,Female,63.5,1.61,163,159,59,1.31,1041.0,Cardio,33.4,1.6,3,2,24.5
37,Male,103.5,1.89,175,168,57,0.54,499.0,Cardio,26.4,3.1,2,1,28.97
47,Female,61.9,1.54,190,131,61,1.95,1150.0,Yoga,16.4,2.7,4,3,26.1
28,Female,52.0,1.61,168,164,70,1.32,1082.0,Yoga,27.9,2.0,3,2,20.06
45,Male,113.4,1.71,190,129,63,0.83,530.0,Strength,24.0,2.3,2,1,38.78
42,Male,62.9,1.98,173,126,61,1.42,886.0,Yoga,28.5,3.4,4,2,16.04
56,Female,40.4,1.8,196,165,72,1.23,913.0,Cardio,30.0,2.1,4,2,12.47
50,Female,67.1,1.75,161,120,59,0.67,362.0,Cardio,31.8,2.7,3,1,21.91
18,Male,70.0,1.61,173,168,71,1.3,1201.0,Strength,23.9,2.5,2,1,27.01
44,Female,69.5,1.75,192,155,69,1.02,711.0,HIIT,27.6,2.1,3,1,22.69
30,Male,107.9,1.66,194,140,64,1.08,832.0,Cardio,29.5,2.8,3,2,39.16
58,Male,109.0,1.91,198,156,56,1.49,1151.0,Yoga,26.0,2.2,3,2,29.88
20,Male,101.0,1.91,179,143,58,1.36,1070.0,Cardio,29.3,2.7,3,2,27.69
56,Male,88.5,1.85,161,144,59,1.57,1119.0,Cardio,11.0,3.5,4,3,25.86
23,Male,80.9,1.8,178,126,59,1.55,1074.0,Cardio,10.7,3.5,4,3,24.97
25,Female,43.1,1.62,196,161,65,1.04,837.0,HIIT,33.6,1.8,4,2,16.42
44,Female,59.1,1.52,177,136,56,1.58,967.0,Yoga,18.4,2.7,5,3,25.58
26,Female,54.0,1.53,175,148,54,1.14,844.0,Strength,26.9,1.7,3,1,23.07
54,Female,72.3,1.78,163,149,72,1.27,852.0,Cardio,27.7,1.8,2,1,22.82
50,Male,51.1,1.98,171,126,52,0.92,574.0,Yoga,28.0,2.4,2,1,13.03
59,Male,89.4,1.72,188,152,67,1.08,813.0,Yoga,24.5,3.2,3,1,30.22
41,Male,51.5,1.8,166,126,60,1.09,680.0,Strength,26.7,2.1,4,2,15.9
32,Male,87.9,1.88,173,143,64,1.52,1195.0,Cardio,11.6,3.5,5,3,24.87
49,Female,42.0,1.52,171,130,70,1.1,644.0,HIIT,28.8,2.2,3,1,18.18
49,Male,79.2,1.72,194,128,69,1.46,925.0,Yoga,29.9,3.3,3,1,26.77
41,Male,64.8,1.71,164,131,54,1.2,778.0,Strength,22.5,2.8,3,2,22.16
58,Female,63.0,1.78,176,154,73,1.58,1095.0,HIIT,17.5,2.7,4,3,19.88
29,Female,56.2,1.77,191,123,61,0.68,418.0,Yoga,33.4,2.6,3,1,17.94
56,Female,52.9,1.64,169,155,53,1.1,767.0,Cardio,27.4,2.3,3,2,19.67
19,Female,49.0,1.69,176,147,64,1.05,772.0,Yoga,29.2,2.4,3,1,17.16
20,Male,128.2,1.84,164,132,58,0.83,603.0,HIIT,26.2,2.3,3,1,37.87
54,Male,83.6,1.86,168,142,56,1.54,1082.0,HIIT,12.4,3.5,5,3,24.16
34,Female,56.2,1.77,192,138,59,1.81,1249.0,Cardio,17.3,2.7,5,3,17.94
19,Male,87.8,1.78,195,161,72,1.28,1133.0,Cardio,23.6,3.3,2,1,27.71
19,Male,85.9,1.85,195,156,62,1.66,1424.0,Strength,12.9,3.5,4,3,25.1
45,Male,51.1,1.87,177,158,57,1.44,1126.0,Cardio,26.2,3.4,4,2,14.61
40,Female,57.4,1.71,168,143,61,1.87,1337.0,Strength,18.3,2.7,5,3,19.63
54,Male,114.9,1.92,188,135,71,1.2,802.0,HIIT,20.7,2.6,4,2,31.17
49,Female,62.1,1.66,173,152,73,1.37,937.0,HIIT,31.3,1.8,3,2,22.54
50,Male,57.1,1.91,184,131,68,1.09,707.0,Yoga,29.5,2.7,4,2,15.65
18,Male,68.1,1.8,174,153,50,1.1,926.0,Yoga,25.4,3.3,4,2,21.02
36,Male,69.2,1.65,165,126,65,1.23,852.0,Strength,27.2,2.7,3,1,25.42
19,Female,65.2,1.52,188,130,71,1.23,800.0,Cardio,30.6,2.4,3,1,28.22
43,Male,108.6,1.73,174,150,66,1.33,988.0,Cardio,28.5,2.2,2,1,36.29
49,Female,40.0,1.65,188,148,74,1.03,686.0,Yoga,34.3,2.5,3,2,14.69
23,Female,41.9,1.58,163,132,67,0.56,370.0,HIIT,26.8,1.8,3,1,16.78
49,Female,68.3,1.52,177,150,60,1.45,979.0,Strength,29.4,1.8,4,2,29.56
21,Male,88.4,1.6,198,121,67,1.71,1138.0,HIIT,12.0,3.5,4,3,34.53
28,Male,66.0,1.9,175,158,56,1.18,1025.0,HIIT,24.1,3.0,3,1,18.28
34,Male,71.9,1.64,170,134,67,1.26,929.0,Cardio,21.3,2.1,4,2,26.73
55,Male,75.6,1.71,173,130,57,1.03,663.0,Strength,28.1,2.0,4,2,25.85
41,Female,63.4,1.59,162,153,55,1.84,1267.0,HIIT,15.2,2.7,5,3,25.08
22,Female,71.6,1.77,197,158,56,1.49,1177.0,Yoga,30.3,1.8,3,1,22.85
51,Female,57.4,1.77,177,123,72,1.08,598.0,Yoga,31.6,2.1,4,2,18.32
23,Male,83.8,1.99,179,130,71,1.79,1280.0,Cardio,11.0,3.5,4,3,21.16
39,Female,55.9,1.71,184,148,59,1.95,1443.0,Yoga,19.5,2.7,5,3,19.12
28,Male,87.0,1.76,197,121,60,1.2,799.0,Yoga,28.4,3.5,3,2,28.09
33,Female,65.3,1.71,172,135,74,1.18,796.0,HIIT,29.7,2.5,4,2,22.33
50,Male,45.4,1.67,163,158,62,1.37,1071.0,Yoga,24.1,2.8,4,2,16.28
26,Male,87.1,1.87,173,132,58,1.71,1241.0,Yoga,11.2,3.5,4,3,24.91
23,Female,78.6,1.73,192,156,56,1.47,1147.0,HIIT,32.3,1.5,4,2,26.26
33,Female,78.0,1.71,187,136,58,1.08,734.0,Cardio,26.3,2.1,3,1,26.67
46,Female,58.0,1.53,196,140,62,1.83,1153.0,Cardio,18.4,2.7,4,3,24.78
20,Female,71.3,1.69,167,163,52,1.28,1043.0,Strength,33.4,2.3,3,2,24.96
37,Male,49.1,1.74,193,138,52,1.11,842.0,Yoga,22.3,2.6,3,2,16.22
53,Female,78.3,1.65,164,126,50,1.24,703.0,HIIT,33.7,1.6,3,1,28.76
36,Female,57.3,1.64,164,157,70,1.13,887.0,Strength,25.3,1.8,4,2,21.3
43,Female,48.4,1.61,190,127,69,1.28,732.0,Cardio,34.1,2.4,2,1,18.67
20,Male,76.4,1.62,168,132,51,1.35,980.0,Cardio,21.2,2.6,4,2,29.11
36,Male,110.2,1.77,191,156,74,1.19,1021.0,HIIT,26.5,3.4,2,1,35.18
37,Female,72.9,1.76,192,121,52,1.21,732.0,Strength,27.5,1.9,3,2,23.53
49,Male,82.1,1.86,162,160,64,1.87,1481.0,Strength,14.2,3.5,4,3,23.73
24,Female,58.9,1.76,189,130,73,0.63,410.0,HIIT,30.1,1.7,3,1,19.01
58,Male,82.2,1.87,171,143,55,1.57,1111.0,HIIT,10.7,3.5,4,3,23.51
50,Male,96.7,1.72,188,125,62,1.46,903.0,Strength,25.7,2.7,3,2,32.69
57,Male,81.4,1.86,162,145,70,1.8,1292.0,Cardio,12.0,3.5,5,3,23.53
56,Male,107.8,1.73,185,126,50,1.09,680.0,Yoga,26.6,2.8,3,2,36.02
35,Female,65.8,1.62,189,158,69,1.0,790.0,Cardio,33.8,1.5,4,2,25.07
57,Female,68.5,1.56,168,138,68,1.45,900.0,HIIT,29.1,1.6,4,2,28.15
18,Female,63.9,1.59,185,125,50,1.87,1169.0,Strength,16.4,2.7,4,3,25.28
28,Male,76.3,1.62,161,162,70,1.16,1034.0,Strength,20.1,2.3,3,2,29.07
45,Female,44.5,1.65,162,148,71,1.44,959.0,Yoga,30.7,1.6,3,1,16.35
42,Female,50.7,1.75,163,162,51,1.29,940.0,Strength,29.0,1.9,3,2,16.56
40,Female,55.1,1.61,184,158,64,1.55,1224.0,Yoga,16.9,2.7,4,3,21.26
48,Male,73.7,1.61,172,121,63,1.36,815.0,Cardio,21.8,3.6,4,2,28.43
49,Male,77.7,1.61,160,158,50,1.03,806.0,Strength,26.7,3.4,3,2,29.98
47,Male,88.4,1.6,186,126,60,1.86,1160.0,HIIT,14.2,3.5,5,3,34.53
52,Male,104.8,1.99,187,130,67,0.93,598.0,Cardio,24.0,2.0,2,1,26.46
57,Male,82.2,1.69,188,155,63,1.15,882.0,Strength,25.2,3.4,4,2,28.78
33,Female,68.2,1.75,177,150,71,0.85,638.0,Strength,29.0,1.7,2,1,22.27
30,Male,91.4,1.99,171,152,60,1.37,1145.0,HIIT,23.0,3.7,3,2,23.08
59,Female,42.1,1.65,172,132,59,1.22,725.0,Strength,33.0,2.2,2,1,15.46
47,Female,68.7,1.76,161,137,66,1.37,845.0,Strength,27.7,2.4,3,2,22.18
36,Female,47.2,1.74,196,160,53,1.5,1200.0,Cardio,32.2,1.6,4,2,15.59
34,Male,92.0,1.76,175,143,73,0.73,574.0,Yoga,22.1,3.5,3,1,29.7
36,Male,56.2,1.95,183,128,64,1.09,767.0,Strength,22.5,3.4,4,2,14.78
45,Male,58.4,1.72,194,150,65,1.31,973.0,HIIT,23.4,3.1,4,2,19.74
43,Male,82.9,1.95,181,160,70,1.9,1505.0,Cardio,12.9,3.5,5,3,21.8
54,Female,66.9,1.74,195,129,62,1.24,720.0,HIIT,29.5,2.1,2,1,22.1
43,Male,66.3,1.85,170,121,58,1.18,707.0,Cardio,27.5,3.2,2,1,19.37
40,Male,93.6,1.93,188,157,60,1.38,1192.0,Cardio,22.1,2.0,3,1,25.13
26,Female,64.1,1.5,194,134,60,1.93,1293.0,Strength,15.1,2.7,5,3,28.49
29,Male,86.7,1.62,174,122,55,1.52,1020.0,Strength,13.9,3.5,4,3,33.04
18,Female,62.0,1.59,190,162,50,1.23,996.0,Strength,33.2,2.2,4,2,24.52
18,Female,58.1,1.61,175,150,71,1.9,1425.0,Yoga,15.3,2.7,4,3,22.41
51,Female,64.9,1.6,169,125,55,1.49,838.0,Yoga,31.1,2.5,4,2,25.35
49,Female,69.3,1.62,191,122,62,1.14,626.0,HIIT,28.8,1.9,4,2,26.41
42,Female,42.7,1.74,161,130,71,1.04,608.0,Strength,32.9,1.6,3,1,14.1
57,Female,51.4,1.63,183,134,73,1.2,724.0,Yoga,33.7,2.0,4,2,19.35
18,Female,67.4,1.6,182,164,71,0.6,492.0,Strength,33.5,2.4,3,1,26.33
33,Female,55.6,1.61,161,147,54,1.77,1301.0,Yoga,18.9,2.7,4,3,21.45
56,Male,125.3,1.86,197,129,64,1.0,639.0,Yoga,22.7,2.2,3,2,36.22
22,Male,102.1,1.85,190,157,67,1.48,1278.0,Cardio,28.1,2.4,4,2,29.83
39,Male,61.9,1.77,199,166,69,1.32,1205.0,Strength,25.3,2.3,3,1,19.76
46,Male,108.8,1.64,185,169,63,1.4,1171.0,Strength,20.5,3.4,3,1,40.45
20,Female,51.1,1.58,188,169,64,0.5,422.0,Yoga,29.6,1.6,2,1,20.47
29,Male,81.7,1.99,162,126,54,1.45,1005.0,Strength,29.4,3.2,2,1,20.63
43,Female,42.7,1.66,173,134,53,0.73,440.0,Yoga,33.9,1.9,2,1,15.5
33,Male,81.8,1.99,184,137,51,1.59,1198.0,Strength,10.5,3.5,4,3,20.66
54,Male,54.6,1.76,160,137,56,1.28,868.0,Cardio,27.4,3.3,4,2,17.63
